product;code;libelle
Orge perlée bio Lidl 1kg;01.1.1.1;Céréales (ND)
Maïs doux bio Cora 1kg;01.1.1.1;Céréales (ND)
Quinoa noir Bio c'Bon 500g;01.1.1.1;Céréales (ND)
Millet perlé bio La Vie Claire 1kg;01.1.1.1;Céréales (ND)
Sorgo perlé bio Casino 500g;01.1.1.1;Céréales (ND)
Teff complet Alnatura 250g;01.1.1.1;Céréales (ND)
Riz parfumé Basmati Grand Marché 5kg;01.1.1.1;Céréales (ND)
Blé dur bio Leclerc 2kg;01.1.1.1;Céréales (ND)
Orge perlé premium Carrefour 1kg;01.1.1.1;Céréales (ND)
Maïs éclaté premium Monoprix 500g;01.1.1.1;Céréales (ND)
Quinoa rouge biologique Naturalia 500g;01.1.1.1;Céréales (ND)
Millet complet bio Intermarché 500g;01.1.1.1;Céréales (ND)
Sorgo grain premium Lidl 1kg;01.1.1.1;Céréales (ND)
Teff noir premium Cora 250g;01.1.1.1;Céréales (ND)
Riz complet bio Casino 2kg;01.1.1.1;Céréales (ND)
Blé complet sélection Auchan 1kg;01.1.1.1;Céréales (ND)
Orge perlé bio Carrefour 500g;01.1.1.1;Céréales (ND)
Maïs doux premium Carrefour 1kg;01.1.1.1;Céréales (ND)
Quinoa blanc bio Bio c'Bon 250g;01.1.1.1;Céréales (ND)
Millet perlé bio Monoprix 250g;01.1.1.1;Céréales (ND)
Sorgo bio La Vie Claire 500g;01.1.1.1;Céréales (ND)
Teff rouge premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati blanc Intermarché 5kg;01.1.1.1;Céréales (ND)
Blé dur bio Cora 1kg;01.1.1.1;Céréales (ND)
Orge perlé bio Carrefour 500g;01.1.1.1;Céréales (ND)
Maïs éclaté bio Leclerc 250g;01.1.1.1;Céréales (ND)
Quinoa tricolore bio Naturalle 500g;01.1.1.1;Céréales (ND)
Millet complet bio Lidl 500g;01.1.1.1;Céréales (ND)
Sorgo grain bio Monoprix 500g;01.1.1.1;Céréales (ND)
Teff blanc bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet premium Casino 5kg;01.1.1.1;Céréales (ND)
Blé complet bio Intermarché 2kg;01.1.1.1;Céréales (ND)
Orge perlée premium Cora 1kg;01.1.1.1;Céréales (ND)
Maïs doux bio Carrefour 500g;01.1.1.1;Céréales (ND)
Quinoa rouge bio Bio c'Bon 250g;01.1.1.1;Céréales (ND)
Millet perlé bio Leclerc 500g;01.1.1.1;Céréales (ND)
Sorgo perlé premium Auchan 500g;01.1.1.1;Céréales (ND)
Teff noir premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati bio Leclerc 5kg;01.1.1.1;Céréales (ND)
Blé dur sélection bio Monoprix 1kg;01.1.1.1;Céréales (ND)
Orge perlé bio Lidl 500g;01.1.1.1;Céréales (ND)
Maïs éclaté bio Intermarché 250g;01.1.1.1;Céréales (ND)
Quinoa blanc bio Naturalia 250g;01.1.1.1;Céréales (ND)
Millet complet premium Carrefour 500g;01.1.1.1;Céréales (ND)
Sorgo grain bio Cora 500g;01.1.1.1;Céréales (ND)
Teff rouge bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet bio Auchan 5kg;01.1.1.1;Céréales (ND)
Blé complet bio Leclerc 2kg;01.1.1.1;Céréales (ND)
Orge perlée bio Monoprix 500g;01.1.1.1;Céréales (ND)
Maïs doux bio Cora 1kg;01.1.1.1;Céréales (ND)
Quinoa noir bio Bio c'Bon 500g;01.1.1.1;Céréales (ND)
Millet perlé bio Intermarché 250g;01.1.1.1;Céréales (ND)
Sorgo perlé bio Lidl 250g;01.1.1.1;Céréales (ND)
Teff blanc premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati premium Carrefour 5kg;01.1.1.1;Céréales (ND)
Blé dur bio Intermarché 2kg;01.1.1.1;Céréales (ND)
Orge perlé premium Leclerc 1kg;01.1.1.1;Céréales (ND)
Maïs éclaté premium Monoprix 500g;01.1.1.1;Céréales (ND)
Quinoa rouge premium Naturalia 500g;01.1.1.1;Céréales (ND)
Millet complet bio Cora 500g;01.1.1.1;Céréales (ND)
Sorgo grain premium Auchan 1kg;01.1.1.1;Céréales (ND)
Teff noir bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet premium Leclerc 5kg;01.1.1.1;Céréales (ND)
Blé complet premium Carrefour 2kg;01.1.1.1;Céréales (ND)
Orge perlée bio Lidl 500g;01.1.1.1;Céréales (ND)
Maïs doux premium Intermarché 1kg;01.1.1.1;Céréales (ND)
Quinoa blanc premium Bio c'Bon 250g;01.1.1.1;Céréales (ND)
Millet perlé premium Monoprix 250g;01.1.1.1;Céréales (ND)
Sorgo perlé bio Cora 500g;01.1.1.1;Céréales (ND)
Teff rouge premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati bio Cora 5kg;01.1.1.1;Céréales (ND)
Blé dur premium Leclerc 2kg;01.1.1.1;Céréales (ND)
Orge perlé premium Lidl 500g;01.1.1.1;Céréales (ND)
Maïs éclaté bio Carrefour 500g;01.1.1.1;Céréales (ND)
Quinoa tricolore premium Naturalia 500g;01.1.1.1;Céréales (ND)
Millet complet premium Intermarché 250g;01.1.1.1;Céréales (ND)
Sorgo grain premium Cora 1kg;01.1.1.1;Céréales (ND)
Teff blanc bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet bio Monoprix 5kg;01.1.1.1;Céréales (ND)
Blé complet premium Auchan 2kg;01.1.1.1;Céréales (ND)
Orge perlée premium Leclerc 500g;01.1.1.1;Céréales (ND)
Maïs doux bio Lidl 500g;01.1.1.1;Céréales (ND)
Quinoa rouge bio Bio c'Bon 500g;01.1.1.1;Céréales (ND)
Millet perlé premium Carrefour 250g;01.1.1.1;Céréales (ND)
Sorgo perlé premium Intermarché 500g;01.1.1.1;Céréales (ND)
Teff noir premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati premium Leclerc 5kg;01.1.1.1;Céréales (ND)
Blé dur bio Lidl 1kg;01.1.1.1;Céréales (ND)
Orge perlé bio Intermarché 500g;01.1.1.1;Céréales (ND)
Maïs éclaté premium Monoprix 250g;01.1.1.1;Céréales (ND)
Quinoa blanc bio Naturalia 500g;01.1.1.1;Céréales (ND)
Millet complet bio Cora 250g;01.1.1.1;Céréales (ND)
Sorgo grain bio Auchan 500g;01.1.1.1;Céréales (ND)
Teff rouge bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet premium Carrefour 5kg;01.1.1.1;Céréales (ND)
Blé complet bio Leclerc 1kg;01.1.1.1;Céréales (ND)
Orge perlée premium Cora 500g;01.1.1.1;Céréales (ND)
Maïs doux premium Lidl 1kg;01.1.1.1;Céréales (ND)
Quinoa noir premium Bio c'Bon 250g;01.1.1.1;Céréales (ND)
Millet perlé bio Intermarché 500g;01.1.1.1;Céréales (ND)
Sorgo perlé premium Monoprix 250g;01.1.1.1;Céréales (ND)
Teff blanc premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati bio Intermarché 5kg;01.1.1.1;Céréales (ND)
Blé dur premium Carrefour 2kg;01.1.1.1;Céréales (ND)
Orge perlé bio Monoprix 1kg;01.1.1.1;Céréales (ND)
Maïs éclaté bio Leclerc 250g;01.1.1.1;Céréales (ND)
Quinoa rouge premium Naturalia 250g;01.1.1.1;Céréales (ND)
Millet complet premium Lidl 500g;01.1.1.1;Céréales (ND)
Sorgo grain premium Cora 500g;01.1.1.1;Céréales (ND)
Teff noir bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet bio Auchan 5kg;01.1.1.1;Céréales (ND)
Blé complet premium Leclerc 2kg;01.1.1.1;Céréales (ND)
Orge perlée bio Carrefour 500g;01.1.1.1;Céréales (ND)
Maïs doux bio Intermarché 500g;01.1.1.1;Céréales (ND)
Quinoa blanc premium Bio c'Bon 500g;01.1.1.1;Céréales (ND)
Millet perlé bio La Vie Claire 250g;01.1.1.1;Céréales (ND)
Sorgo perlé bio Lidl 500g;01.1.1.1;Céréales (ND)
Teff rouge premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati premium Monoprix 5kg;01.1.1.1;Céréales (ND)
Blé dur bio Cora 2kg;01.1.1.1;Céréales (ND)
Orge perlé premium Leclerc 500g;01.1.1.1;Céréales (ND)
Maïs éclaté premium Carrefour 250g;01.1.1.1;Céréales (ND)
Quinoa tricolore bio Naturalia 250g;01.1.1.1;Céréales (ND)
Millet complet bio Monoprix 500g;01.1.1.1;Céréales (ND)
Sorgo grain premium Auchan 1kg;01.1.1.1;Céréales (ND)
Teff blanc bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet premium Intermarché 5kg;01.1.1.1;Céréales (ND)
Blé complet bio Lidl 1kg;01.1.1.1;Céréales (ND)
Orge perlée premium Carrefour 500g;01.1.1.1;Céréales (ND)
Maïs doux premium Leclerc 500g;01.1.1.1;Céréales (ND)
Quinoa rouge bio Bio c'Bon 250g;01.1.1.1;Céréales (ND)
Millet perlé premium Cora 250g;01.1.1.1;Céréales (ND)
Sorgo perlé bio Intermarché 500g;01.1.1.1;Céréales (ND)
Teff noir premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati bio Carrefour 5kg;01.1.1.1;Céréales (ND)
Blé dur premium Leclerc 2kg;01.1.1.1;Céréales (ND)
Orge perlé bio Lidl 1kg;01.1.1.1;Céréales (ND)
Maïs éclaté premium Monoprix 250g;01.1.1.1;Céréales (ND)
Quinoa blanc premium Naturalia 250g;01.1.1.1;Céréales (ND)
Millet complet premium Cora 500g;01.1.1.1;Céréales (ND)
Sorgo grain bio Intermarché 500g;01.1.1.1;Céréales (ND)
Teff rouge bio Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet bio Leclerc 5kg;01.1.1.1;Céréales (ND)
Blé complet premium Lidl 2kg;01.1.1.1;Céréales (ND)
Orge perlée premium Intermarché 500g;01.1.1.1;Céréales (ND)
Maïs doux bio Carrefour 500g;01.1.1.1;Céréales (ND)
Quinoa noir bio Bio c'Bon 500g;01.1.1.1;Céréales (ND)
Millet perlé bio Monoprix 250g;01.1.1.1;Céréales (ND)
Sorgo perlé premium Cora 500g;01.1.1.1;Céréales (ND)
Teff blanc premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz basmati premium Cora 5kg;01.1.1.1;Céréales (ND)
Blé dur bio Monoprix 1kg;01.1.1.1;Céréales (ND)
Orge perlé bio Leclerc 500g;01.1.1.1;Céréales (ND)
Maïs éclaté bio Lidl 250g;01.1.1.1;Céréales (ND)
Quinoa rouge premium Naturalia 250g;01.1.1.1;Céréales (ND)
Millet complet bio Carrefour 500g;01.1.1.1;Céréales (ND)
Sorgo grain premium Intermarché 1kg;01.1.1.1;Céréales (ND)
Teff noir premium Alnatura 250g;01.1.1.1;Céréales (ND)
Riz complet premium Leclerc 5kg;01.1.1.1;Céréales (ND)
Blé complet bio Cora 2kg;01.1.1.1;Céréales (ND)
Orge perlée premium Monoprix 500g;01.1.1.1;Céréales (ND)
Maïs doux premium Lidl 1kg;01.1.1.1;Céréales (ND)
Quinoa blanc bio Bio c'Bon 250g;01.1.1.1;Céréales (ND)
Millet perlé premium Carrefour 250g;01.1.1.1;Céréales (ND)
Sorgo perlé bio Auchan 500g;01.1.1.1;Céréales (ND)
Carrefour Farine T55 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé T45 1 kg;01.1.1.2;Farine de céréales (ND)
Leclerc Farine complète 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine de seigle 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé complet 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine d’épeautre bio 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine de blé T65 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé T55 1 kg;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T45 500 g;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle complet 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine de blé T45 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé complet 1 kg;01.1.1.2;Farine de céréales (ND)
Leclerc Farine d’épeautre T55 500 g;01.1.1.2;Farine de céréales (ND)
Intermarché Farine de blé bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé T65 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle T45 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine de blé complet 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine d’épeautre complet 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T45 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de blé bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine de blé complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine d’épeautre 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle bio 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine de blé T45 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine d’épeautre bio 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine de seigle T55 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé complet 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T55 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine d’épeautre T45 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine de seigle complet 1 kg;01.1.1.2;Farine de céréales (ND)
Auchou Farine de blé T45 500 g *(marque fictive à corriger)*;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de blé bio T65 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre complet 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de seigle bio 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de blé T55 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine de blé complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine d’épeautre T45 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T45 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle T55 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre complet 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé complet bio 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de blé T55 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine de seigle bio 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine d’épeautre T65 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de blé complet 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine de seigle T45 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine d’épeautre complet bio 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T65 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de blé bio T45 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre T55 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de seigle complet 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de blé complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre T45 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé T55 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle T65 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine de blé complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine d’épeautre T55 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T45 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle complet bio 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine de blé bio T65 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine d’épeautre complet 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle T55 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine de blé complet bio 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine d’épeautre T45 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de blé T55 bio 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine de seigle complet 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine d’épeautre bio T65 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T55 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle T45 bio 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé T65 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle complet 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé complet T45 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle T55 bio 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre complet 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé T45 bio 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé complet T55 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle bio T65 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre T45 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé complet 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre T65 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé T45 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle complet 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé complet T65 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé bio T45 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle complet T55 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre bio T65 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé T55 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre T45 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé complet bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle T45 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre complet bio 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé T65 bio 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé complet T45 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre T55 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé complet bio T65 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle T45 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé T45 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle complet bio 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre T65 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé complet bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T45 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle complet T65 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre complet T55 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé bio T45 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle complet T55 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre T65 bio 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé complet T45 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre complet T45 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé bio T65 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé complet bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle T45 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre T65 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé complet T55 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle bio T45 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre complet bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé T65 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle complet T45 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé complet T65 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé bio T45 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle complet bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre T45 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle complet T65 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre T45 bio 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé complet T55 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle bio T45 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre complet T65 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé T55 bio 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé complet T45 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle bio T65 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre complet T45 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé T55 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle bio T65 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre complet T55 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé bio T45 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle T55 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre T65 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé complet T45 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle complet T65 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre T55 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé complet T45 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle T55 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre bio T65 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé T45 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle complet bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre T55 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé bio T65 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé complet T45 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle bio T55 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre complet T65 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé T45 bio 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle complet T55 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre T55 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé complet bio T65 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle T45 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre bio T55 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé complet T55 500 g;01.1.1.2;Farine de céréales (ND)
Cora Farine de blé T45 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Spar Farine de seigle complet T65 500 g;01.1.1.2;Farine de céréales (ND)
Carrefour Farine d’épeautre T45 bio 1 kg;01.1.1.2;Farine de céréales (ND)
Auchan Farine de blé complet T55 500 g;01.1.1.2;Farine de céréales (ND)
Leclerc Farine de seigle bio T65 1 kg;01.1.1.2;Farine de céréales (ND)
Intermarché Farine d’épeautre complet T45 500 g;01.1.1.2;Farine de céréales (ND)
Lidl Farine de blé T55 1 kg;01.1.1.2;Farine de céréales (ND)
Monoprix Farine de seigle complet T55 500 g;01.1.1.2;Farine de céréales (ND)
Picard Farine d’épeautre T65 1 kg;01.1.1.2;Farine de céréales (ND)
Casino Farine de blé bio T45 500 g;01.1.1.2;Farine de céréales (ND)
